🔍 Scanning for power monitoring interfaces...
   🌡️  Found thermal zone: thermal_zone0
   💻 Added CPU monitoring
📊 Logging system power data to /home/pi/system_power_log.csv
🖥️  Monitoring CPU, memory, temperature, and available power metrics
⚠️  Watching for high CPU, temperature, and system load issues
Press Ctrl+C to stop logging
✅ 2025-07-21T17:26:09.280903: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:26:14.281763: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:26:19.282648: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:24.283508: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:29.284359: CPU 1%, Temp 49.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:26:34.285213: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:39.286066: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:44.286943: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:49.287801: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:54.288665: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:26:59.291106: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:04.293739: CPU 2%, Temp 49.6°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:09.299202: CPU 0%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:14.300058: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:19.300917: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:24.301805: CPU 1%, Temp 49.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:29.302712: CPU 0%, Temp 49.6°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:34.304469: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
